input,target
And my heart's right in this: that thy inward love of heart remaineth ever constant.,"And my heart's right, thy inward love of heart."
"Betwixt mine eye and heart, a league most solemn is took, wherein neither shall yield unto the other.","Betwixt mine eye and heart a league is took,"
"A league is took between mine eye and heart, which doth stand betwixt them as a covenant sworn.","Betwixt mine eye and heart a league is took,"
"There is a league took betwixt mine eye and the seat of my heart, and thus they stand divided.","Betwixt mine eye and heart a league is took,"
"So, either by thy picture or by my love, doth this resolve stand firm.","So, either by thy picture or my love,"
"Either by thy picture or my love, so doth the matter rest, I say.","So, either by thy picture or my love,"
"By thy picture, then, or else by my love so deep—either way the truth appeareth.","So, either by thy picture or my love,"
"Though thou thyself away dost go, yet art thou present still with me in spirit and in truth.","Thyself away, art present still with me;"
"Thyself away thou hast removed, and yet art present still with me, O faithful heart.","Thyself away, art present still with me;"
"Away thyself may wander far, yet art thou still present with me in all my thoughts.","Thyself away, art present still with me;"
How careful was I when I took my way upon the path before me!,"How careful was I when I took my way,"
"When I took my way, how very careful was I in my proceeding!","How careful was I when I took my way,"
"How careful was I, indeed, when I took my way through that uncertain passage!","How careful was I when I took my way,"
"That it might to my use stay unused, and so remain untouched for mine own keeping.",That to my use it might unused stay
"To my use it might stay unused, that so it shall remain for me and not be spent nor worn.",That to my use it might unused stay
"That it might unused stay to my use, reserved and kept apart for mine own purpose and benefit.",That to my use it might unused stay
"Thou art most worthy comfort unto me, and yet now thou hast become my greatest grief.","Most worthy comfort, now my greatest grief,"
"Now doth my greatest grief spring forth from thee, who wast most worthy comfort to my soul.","Most worthy comfort, now my greatest grief,"
"Most worthy comfort wert thou once to me, yet now art thou transformed into my greatest grief.","Most worthy comfort, now my greatest grief,"
"Thou art the best of all that is most dearest unto me, and thou remainest mine only care in this world.","Thou best of dearest, and mine only care,"
"Of all the dearest souls that walk this earth, thou art the best, and mine only care doth rest upon thy shoulders.","Thou best of dearest, and mine only care,"
"Thou, who art best among the dearest of my heart, art mine only care, and all my thoughts do turn to thee.","Thou best of dearest, and mine only care,"
"Save where thou art not, though I feel most deeply that thou art present still within my heart.","Save where thou art not, though I feel thou art,"
"Though I do feel that thou art nigh, yet save where thou art not, methinks my senses do deceive.","Save where thou art not, though I feel thou art,"
"Save in the places where thou art not dwelling, though I feel with certainty that thou art living in my soul.","Save where thou art not, though I feel thou art,"
"When love, being converted from the thing it was, doth transform into something else entirely.","When love, converted from the thing it was,"
"When love hath been converted from the very thing it was, it becometh altered and strange.","When love, converted from the thing it was,"
"When love, converted away from the thing it was, doth cease to be what once it seemed.","When love, converted from the thing it was,"
"Shall reasons find themselves of settled gravity, that doth endure",Shall reasons find of settled gravity;
"Of settled gravity shall reasons find their place, as thou dost seek",Shall reasons find of settled gravity;
"Reasons of settled gravity shall find their way, and thou shalt know",Shall reasons find of settled gravity;
"Within the compass of mine own desert, I do possess full knowledge of what I have truly earned and deserve.","Within the knowledge of mine own desert,"
"I hold within my breast the knowledge of mine own desert, a truth most intimate and self-aware.","Within the knowledge of mine own desert,"
"There dwells within me knowledge most certain of mine own desert, contained wholly in the sanctuary of mine own understanding.","Within the knowledge of mine own desert,"
"And this my hand do I uprear against my self, in rebellion most bitter and full of anguish.","And this my hand, against my self uprear,"
"This hand of mine I uprear and raise against my self, and thus doth it strike against my own being.","And this my hand, against my self uprear,"
"Against my self do I uprear this hand, and this hand of mine doth rise in arms against me.","And this my hand, against my self uprear,"
Thou hast the strength of laws to leave poor me forlorn and destitute.,"To leave poor me thou hast the strength of laws,"
"The strength of laws doth give thee power to leave poor me abandoned, as thou hast willed.","To leave poor me thou hast the strength of laws,"
"Poor me thou canst leave behind, for thou hast garnered the strength of laws to do so.","To leave poor me thou hast the strength of laws,"
Doth it teach unto thee that ease and that repose to say with grace?,"Doth teach that ease and that repose to say,"
"That ease and that repose to say, doth teach the tongue with gentle sway.","Doth teach that ease and that repose to say,"
Doth teach the lips to say with ease and that most welcome repose thereunto.,"Doth teach that ease and that repose to say,"
Unto me it doth prove far more sharp than spurring to his side could ever be;,More sharp to me than spurring to his side;
"More sharp it is to me, I tell thee, than any spurring to his very side;",More sharp to me than spurring to his side;
To me this proves more sharp than spurring to his flank's own side hath been;,More sharp to me than spurring to his side;
"From the place where thou art, why should I haste me thence with such urgency?",From where thou art why should I haste me thence?
"Why should I haste me thence, departing from where thou art so positioned?",From where thou art why should I haste me thence?
"From where thou art stationed, tell me—why should I haste me thence at all?",From where thou art why should I haste me thence?
"In winged speed shall I know no motion whatsoever, for I shall be bereft of all sense and understanding.","In winged speed no motion shall I know,"
"No motion shall I know, for in winged speed I shall move beyond the reach of mortal perception.","In winged speed no motion shall I know,"
"In winged speed do I travel such that no motion shall I know, being swift beyond all reckoning.","In winged speed no motion shall I know,"
"Shall no dull flesh neigh in his fiery race, for such base matter cannot partake of his swift and burning course.","Shall neigh no dull flesh in his fiery race,"
"No dull flesh shall neigh in his fiery race, as only spirit most pure doth move with such burning speed.","Shall neigh no dull flesh in his fiery race,"
"In his fiery race, shall no dull flesh neigh, for base and sluggish matter hath not the fire to match his course.","Shall neigh no dull flesh in his fiery race,"
"Therefore art feasts so solemn and so rare, for they are occasions of great weight and infrequency.","Therefore are feasts so solemn and so rare,"
"So solemn and so rare are feasts, therefore, because they come but seldom unto us.","Therefore are feasts so solemn and so rare,"
"Feasts are therefore both solemn and so rare, being occasions of gravity that visit us not oft.","Therefore are feasts so solemn and so rare,"
"Like stones of worth, they are placed most thinly and sparse, as gems arranged with deliberate scarcity upon a ground.","Like stones of worth they thinly placed are,"
"They are positioned thinly, like stones of worth that doth sit scattered, each precious stone placed with worthy consideration.","Like stones of worth they thinly placed are,"
"Thinly placed are they, like unto stones of worth, arranged as treasures distributed with sparing hand across the expanse.","Like stones of worth they thinly placed are,"
"Or as the wardrobe which doth hide the robe, being obscured and concealed beneath.","Or as the wardrobe which the robe doth hide,"
"Or as the wardrobe that the robe doth hide, serving as that which lies beneath and is covered.","Or as the wardrobe which the robe doth hide,"
Or as the wardrobe—which the robe doth hide—much like a treasure kept secret and shrouded from view.,"Or as the wardrobe which the robe doth hide,"
"By the new unfolding of his imprisoned pride, doth he reveal himself.",By new unfolding his imprisoned pride.
"His imprisoned pride, through new unfolding, doth break forth by means most wondrous.",By new unfolding his imprisoned pride.
"By new unfolding shall his imprisoned pride be set at liberty, I say.",By new unfolding his imprisoned pride.
"When being had in possession, to triumph most mightily; when being lacked and absent, to hope with steadfast heart.","Being had, to triumph; being lacked, to hope."
"To triumph shall be thine when being had; yet when being lacked, thou shalt to hope turn thy face.","Being had, to triumph; being lacked, to hope."
"Being had doth grant thee to triumph, whilst being lacked doth move thy soul to hope eternal.","Being had, to triumph; being lacked, to hope."
"Describe unto me fair Adonis, and the counterfeit that doth mock his beauty","Describe Adonis, and the counterfeit"
"Prithee, describe the lovely Adonis, and that counterfeit which art but false imitation","Describe Adonis, and the counterfeit"
"Describe to us the golden Adonis, and reveal the counterfeit that doth deceive with borrowed grace","Describe Adonis, and the counterfeit"
"Speak, I pray thee, of the spring and of the foison that doth grace the year with abundance.","Speak of the spring, and foison of the year,"
"Of the spring and of the foison of the year, I beseech thee, speak thy mind freely.","Speak of the spring, and foison of the year,"
"Speak unto us of the spring, and make mention of the foison that the year doth bring forth in its season.","Speak of the spring, and foison of the year,"
The one doth show a shadow of your beauty most fair,"The one doth shadow of your beauty show,"
Doth the one shadow forth a show of your exceeding beauty,"The one doth shadow of your beauty show,"
A shadow of your beauty doth the one show unto thee,"The one doth shadow of your beauty show,"
"O! how much more doth that which is beauteous seem to possess beauty, and how greatly doth beauty itself appear more beauteous still.",O! how much more doth beauty beauteous seem
"O! in what manner doth beauty seem far more beauteous, and how much greater doth its beauteous nature appear unto us.",O! how much more doth beauty beauteous seem
"O! how exceedingly more beauteous doth beauty seem, and how much doth that which is beauteous appear to grow in beauty.",O! how much more doth beauty beauteous seem
"They live unwooed by any suitor's heart, and in their solitude do unrespected fade into obscurity most lamentable.","They live unwooed, and unrespected fade;"
"Unwooed do they live out their days, and thus unrespected shall they fade away from all remembrance and regard.","They live unwooed, and unrespected fade;"
"In unwooed fashion do they live their lives, whilst unrespected they do gradually fade from the world's eye and esteem.","They live unwooed, and unrespected fade;"
"When that shall vade, by verse distills your truth most clear and pure, revealing all that is most sacred within thy being.","When that shall vade, by verse distills your truth."
"By verse distills your truth when that shall vade away, and through such poesy doth all thy constancy remain eternally manifest.","When that shall vade, by verse distills your truth."
"When that shall vade into the shadows, yet by verse distills your truth still, preserved forever in the immortal words of poetry.","When that shall vade, by verse distills your truth."
"And broils do root out the work of masonry, laying waste to all that careful stone-craft hath erected.","And broils root out the work of masonry,"
"The broils root out and utterly destroy the work of masonry, that noble art of building which men do cherish.","And broils root out the work of masonry,"
"Broils do root out the work of masonry, and thus the labours of the mason are brought to naught.","And broils root out the work of masonry,"
"Against death doth he stand firm, and against all-oblivious enmity that seeketh to unmake him.","against death, and all-oblivious enmity"
"All-oblivious enmity and death itself do war against thee, yet thou must hold thy ground against them both.","against death, and all-oblivious enmity"
"Thou must raise thy sword against death and against all-oblivious enmity, those twin foes that would lay thee waste.","against death, and all-oblivious enmity"
"Sweet love, I do beseech thee, renew thy force most fervently; let it not be said amongst men that thou hast failed.","Sweet love, renew thy force; be it not said"
"O sweet love, renew thy force, I pray thee, for it must not be said that thou art diminished or grown weak.","Sweet love, renew thy force; be it not said"
"Renew thy force, sweet love, and let it not be said by any soul that thou hast lost thy power and might.","Sweet love, renew thy force; be it not said"
"Which hunger, but to-day by feeding, is allayed and satisfied in thee.","Which but to-day by feeding is allayed,"
"Which doth remain, but to-day by feeding, is allayed and put to rest.","Which but to-day by feeding is allayed,"
"Which torment, being but to-day by feeding, is allayed and shall be calmed.","Which but to-day by feeding is allayed,"
"The spirit of love doth move with a perpetual dulness, heavy and unceasing in its burden.","The spirit of love, with a perpetual dulness."
"With perpetual dulness doth the spirit of love manifest itself, a constant and tiresome weight upon the soul.","The spirit of love, with a perpetual dulness."
"A perpetual dulness attendeth the spirit of love, wherein it moveth forever with a dull and unsharpened grace.","The spirit of love, with a perpetual dulness."
"Which parts the shore, where two contracted new in bonds of marriage do their vows renew.","Which parts the shore, where two contracted new"
"Where two contracted new do meet upon the shore which parts the lands, their covenant made anew.","Which parts the shore, where two contracted new"
"The shore which parts doth separate the lands, where two contracted new in wedlock's bonds do stand.","Which parts the shore, where two contracted new"
"Or dost thou call it winter, which, being full of care, doth weigh upon the soul?","Or call it winter, which being full of care,"
"Or wouldst thou call it winter—that season which, being full of care, doth burden all?","Or call it winter, which being full of care,"
"Or call it winter, if thou wilt, which being full of care and heavy with concern, doth so afflict us?","Or call it winter, which being full of care,"
Doth it fall upon the hours and times of your desire?,"Upon the hours, and times of your desire?"
"Upon the hours and the times of your desire, what say'st thou?","Upon the hours, and times of your desire?"
What moves thee upon the hours and times of your own desire?,"Upon the hours, and times of your desire?"
Even of five hundred courses of the sun hath passed in their turning.,"Even of five hundred courses of the sun,"
"Of five hundred courses even, which the sun doth run in its celestial journey.","Even of five hundred courses of the sun,"
"The sun, in even procession of five hundred courses, doth complete its ancient rounds.","Even of five hundred courses of the sun,"
That I might see what the old world could say unto me in its ancient wisdom,That I might see what the old world could say
"What the old world could say, that I might see it revealed before mine eyes",That I might see what the old world could say
That I might see and perceive what the old world could say in ages past,That I might see what the old world could say
"Whether we are mended, or whether they be better in their estate and condition","whether we are mended, or whether better they,"
"Whether we ourselves are mended and reformed, or whether it be they who are better constituted","whether we are mended, or whether better they,"
"Whether we are mended in our state, or whether better fortune doth attend upon they","whether we are mended, or whether better they,"
Or whether the revolution be the same as that which came before.,Or whether revolution be the same.
Or whether it be that revolution doth remain the same in nature.,Or whether revolution be the same.
"Or whether, perchance, revolution be the self-same thing it ever was.",Or whether revolution be the same.
"In sequent toil, all forwards do contend most fiercely, each striving to advance.",In sequent toil all forwards do contend.
"All do contend in sequent toil, pressing forwards with unceasing effort and struggle.",In sequent toil all forwards do contend.
"Forwards do all contend in sequent toil, as each doth strive and push ever onward.",In sequent toil all forwards do contend.
"Nativity, which once did dwell within the main of light, hath shone forth in glory.","Nativity, once in the main of light,"
"Once in the main of light was nativity born, and there it did abide in celestial radiance.","Nativity, once in the main of light,"
"In the main of light, nativity once flourished, ere it was cast down from that luminous sphere.","Nativity, once in the main of light,"
Crooked eclipses do fight against his glory with malevolent force.,"Crooked eclipses against his glory fight,"
"Against his glory, crooked eclipses fight most bitterly and with dark intent.","Crooked eclipses against his glory fight,"
His glory is assailed by crooked eclipses that fight against it with shadowed malice.,"Crooked eclipses against his glory fight,"
"And yet, my verse shall stand to times in hope, enduring through the ages yet to come.","And yet to times in hope, my verse shall stand."
"My verse, and yet it shall to times in hope most firmly stand, defying all decay.","And yet to times in hope, my verse shall stand."
"And yet my verse shall stand to times that lie in hope before us, immortal and unchanging.","And yet to times in hope, my verse shall stand."
Doth my heavy eyelids now surrender to the weary night that cometh upon me?,My heavy eyelids to the weary night?
"To the weary night do I yield my heavy eyelids, worn and sorrowful?",My heavy eyelids to the weary night?
"The weary night doth claim my heavy eyelids, and to it shall they fall?",My heavy eyelids to the weary night?
Dost thou truly desire that my slumbers should be broken asunder?,"Dost thou desire my slumbers should be broken,"
"My slumbers, dost thou desire they should be broken by thine own hand?","Dost thou desire my slumbers should be broken,"
"Thou dost desire, dost thou not, that my slumbers should be broken into fragments?","Dost thou desire my slumbers should be broken,"
"For thee do I keep watch and vigil, whilst thou dost wake in some other place elsewhere.","For thee watch I, whilst thou dost wake elsewhere,"
"Whilst thou dost wake elsewhere, 'tis for thee alone that I do watch and keep mine eyes open.","For thee watch I, whilst thou dost wake elsewhere,"
"I watch for thee most faithfully, even whilst thou dost wake and stir in places elsewhere far from me.","For thee watch I, whilst thou dost wake elsewhere,"
"And all my soul, yea all my every part doth belong unto thee;","And all my soul, and all my every part;"
"All of my soul and all of my every part, I do hereby surrender;","And all my soul, and all my every part;"
"All my soul, and all my every part whatsoever, art bound together;","And all my soul, and all my every part;"
"It is so deeply grounded inward in the very chamber of my heart, where it doth lodge most firmly.",It is so grounded inward in my heart.
"So grounded inward is it in my heart, that it hath taken root most profoundly within.",It is so grounded inward in my heart.
"In my heart it is so grounded inward, buried deep where no force shall ever dislodge it.",It is so grounded inward in my heart.
"There is no shape so true, nor any truth of such account as this.","No shape so true, no truth of such account;"
"No shape doth prove so true, and no truth of such account can equal it.","No shape so true, no truth of such account;"
"Verily, no shape existeth that be so true, no truth of such account in all the realm.","No shape so true, no truth of such account;"
As I do all other men surmount in all worths and virtues whatsoever.,As I all other in all worths surmount.
"In all worths do I surmount all other, even as the stars surpass the lesser lights.",As I all other in all worths surmount.
"All other creatures in all worths I surmount, as is my nature and station.",As I all other in all worths surmount.
"I do read mine own self-love most contrary, quite against all reason and expectation.",Mine own self-love quite contrary I read;
"Mine own self-love, which I read quite contrary to nature, doth perplex me greatly.",Mine own self-love quite contrary I read;
"Contrary to what I should believe, I read mine own self-love in a manner most strange and quite perverse.",Mine own self-love quite contrary I read;
To be so self-loving in thine own regard were surely iniquity and a most grievous sin.,Self so self-loving were iniquity.
Such self-loving as doth make one so enamoured of oneself were nothing less than iniquity.,Self so self-loving were iniquity.
"Iniquity it were, forsooth, shouldst thou be so very self-loving and devoted unto thy self.",Self so self-loving were iniquity.
When the hours have drained away his blood and filled his brow with care,When hours have drained his blood and filled his brow
When hours have drained his blood most grievously and filled his brow with wrinkles deep,When hours have drained his blood and filled his brow
"When hours, in their passage, have drained his blood and filled his brow with marks of age",When hours have drained his blood and filled his brow
For such a time as this do I now fortify my soul and spirit against all trials that approach.,For such a time do I now fortify
"For such a time do I now fortify myself, steeling mine heart against the tribulations that shall come to pass.",For such a time do I now fortify
"It is for such a time that I do now fortify my resolve and strength, preparing myself with utmost care.",For such a time do I now fortify
"My sweet love's beauty doth sustain my lover's life, though it be but fleeting.","My sweet love's beauty, though my lover's life:"
"Though my lover's life doth hang in balance, my sweet love's beauty remaineth eternal.","My sweet love's beauty, though my lover's life:"
"My sweet love's beauty is, in truth, the very breath of my lover's life, though all else fade.","My sweet love's beauty, though my lover's life:"
"His beauty shall be seen in these black lines, which doth preserve his image for all eternity.","His beauty shall in these black lines be seen,"
"In these black lines shall his beauty be seen, for they do capture the essence of his fair countenance.","His beauty shall in these black lines be seen,"
"These black lines shall make his beauty seen unto all who gaze upon them, and in them shall his grace be beheld.","His beauty shall in these black lines be seen,"
"And they shall live eternally, whilst he doth remain in them still green and flourishing.","And they shall live, and he in them still green."
"They shall live, and he in them shall abide forever still, verdant and green.","And they shall live, and he in them still green."
"And they shall live on, with he remaining in them yet still green and undying.","And they shall live, and he in them still green."
When rocks that are impregnable do prove themselves not so stout in their nature,"When rocks impregnable are not so stout,"
When even rocks most impregnable are discovered to be not so stout as men believe,"When rocks impregnable are not so stout,"
"When rocks, though impregnable in appearance, are yet not so stout as they seem to be","When rocks impregnable are not so stout,"
"O what a fearful meditation this doth prove! Where, alack, shall I find solace?","O fearful meditation! where, alack,"
"Where, alack, doth such fearful meditation possess the soul? O cruel torment!","O fearful meditation! where, alack,"
"O meditation most fearful and terrible! Alack, where art thou, gentle comfort?","O fearful meditation! where, alack,"
"That in black ink my love may still shine bright, as if the very darkness of the written word doth serve to illuminate affection's glory.",That in black ink my love may still shine bright.
"In black ink, my love shall still shine bright, so that what is writ in darkness may yet endure and sparkle for all eternity.",That in black ink my love may still shine bright.
"My love may still shine bright, I say, writ there in black ink, that it shall not be dimmed but rather glow with everlasting radiance.",That in black ink my love may still shine bright.
"Wearied and tired with all these troubles, I do cry out most earnestly for restful death to come upon me.","Tired with all these, for restful death I cry:"
"For I am tired with all these vexations, and thus I cry unto the heavens for death most restful and peaceful.","Tired with all these, for restful death I cry:"
"Tired as I am with all these burdens, I cry aloud and do beseech for restful death to grant me its embrace.","Tired with all these, for restful death I cry:"
"And the purest faith, most unhappily forsworn by thee, doth grieve the soul.","And purest faith unhappily forsworn,"
"The purest faith, unhappily and most cruelly forsworn, doth lie in ruins.","And purest faith unhappily forsworn,"
"And lo, the purest faith hath been unhappily forsworn, to our great woe.","And purest faith unhappily forsworn,"
"And honour, being gilded with false appearance, is shamefully misplaced within unworthy hands.","And gilded honour shamefully misplaced,"
"Honour, which doth appear as gilded, is shamefully and most wrongfully misplaced in this world.","And gilded honour shamefully misplaced,"
"And there is honour, gilded though it be, yet shamefully misplaced by those of little worth.","And gilded honour shamefully misplaced,"
"And doth maiden virtue stand rudely strumpeted, cast down without ceremony or grace?","And maiden virtue rudely strumpeted,"
"Maiden virtue, I say, hath been most rudely strumpeted and defiled in shameful wise.","And maiden virtue rudely strumpeted,"
"And lo, how rudely hath maiden virtue been strumpeted, made lewd and wanton by base violence!","And maiden virtue rudely strumpeted,"
"And right perfection, which hath been wrongfully disgraced by villainous hands","And right perfection wrongfully disgraced,"
"Right perfection doth stand wrongfully disgraced, and thus is the truth corrupted","And right perfection wrongfully disgraced,"
"And so perfection, being right and true, is wrongfully disgraced in this world","And right perfection wrongfully disgraced,"
"And by the limping sway of disabled strength, all vigor is unmade",And strength by limping sway disabled
"Strength itself, disabled and made feeble by limping sway, doth fail",And strength by limping sway disabled
"By limping sway is strength disabled, and thus all power doth wane",And strength by limping sway disabled
"And that simple truth, which is miscalled by fools as mere simplicity, doth suffer wrong.","And simple truth miscalled simplicity,"
"And simple truth, being miscalled simplicity by those of shallow wit, doth bear false name.","And simple truth miscalled simplicity,"
"And lo, the simple truth stands miscalled as simplicity by knaves, though it be noble.","And simple truth miscalled simplicity,"
"Save that I leave my love alone, to die, methinks a cruel fate.","Save that, to die, I leave my love alone."
"To die I must, and save that bitter sorrow, I leave my love alone in this world.","Save that, to die, I leave my love alone."
"I leave my love alone, save that to die is all that doth remain for me to do.","Save that, to die, I leave my love alone."
"That sin should by him advantage achieve, and thus iniquity gain foothold through his agency.","That sin by him advantage should achieve,"
"By him should sin achieve advantage, such that through his means transgression doth obtain gain.","That sin by him advantage should achieve,"
"That sin through him should achieve advantage, whereby wickedness may by his hand attain its end.","That sin by him advantage should achieve,"
And doth it lace itself with his most gracious society?,And lace itself with his society?
And shall it lace itself thereby with his worthy society?,And lace itself with his society?
And doth lace itself it so with his society most fair?,And lace itself with his society?
Before the golden tresses of the dead doth lie all mortal splendour.,"Before the golden tresses of the dead,"
"The golden tresses of the dead, which came before all earthly beauty, do shine eternally.","Before the golden tresses of the dead,"
"Before time's ravages, the golden tresses of the dead remain, yet mortality claims them all.","Before the golden tresses of the dead,"
"In him are seen those holy hours of antique days, preserved as they were in ages past.","In him those holy antique hours are seen,"
"Those holy and antique hours are seen within him, manifest in his very countenance and bearing.","In him those holy antique hours are seen,"
"Behold in him the sight of those antique hours, most holy and sacred, which there are seen.","In him those holy antique hours are seen,"
"And Nature doth store him as for a map, preserving his form as one would preserve a precious chart.","And him as for a map doth Nature store,"
"For Nature doth store him as a map, and thus keepeth him in her treasury as a thing of great worth.","And him as for a map doth Nature store,"
"And him Nature doth store, even as for a map, holding him within her keeping as a thing most carefully preserved.","And him as for a map doth Nature store,"
"All tongues, which are the voice of souls, do give unto thee that which is thy due.","All tongues, the voice of souls, give thee that due,"
"That due which is owed unto thee shall all tongues give, being the very voice of souls.","All tongues, the voice of souls, give thee that due,"
"Give unto thee that due, all tongues do, for they are the voice of souls and speak thy worth.","All tongues, the voice of souls, give thee that due,"
"And that in guess they do measure by thy deeds, taking thy actions as the very standard of their reckoning.",And that in guess they measure by thy deeds;
"And that by thy deeds in guess they measure thee, for 'tis thy works whereby they do make their estimation.",And that in guess they measure by thy deeds;
"And that they measure in guess by thy deeds alone, letting thy actions be the gauge of all their judgment.",And that in guess they measure by thy deeds;
The soil of thy condition is this: that thou dost grow common in the eyes of all men.,"The soil is this, that thou dost common grow."
"This is the soil wherein thy nature dwells—that thou dost common grow, becoming base through familiarity.","The soil is this, that thou dost common grow."
"Verily, the soil that brings thee to such estate is this: thou dost grow common, and thereby lose thy worth.","The soil is this, that thou dost common grow."
"Thy worth doth grow the greater, being wooed most persistently of time itself.",Thy worth the greater being wooed of time;
"The greater measure of thy worth is made apparent, being wooed as it is of time.",Thy worth the greater being wooed of time;
"Being wooed of time, thy worth appeareth ever the greater and more noble.",Thy worth the greater being wooed of time;
Thou hast passed by the ambush that doth lurk within the young days of thy life,Thou hast passed by the ambush of young days
"By the ambush of young days hast thou passed, unscathed and resolute",Thou hast passed by the ambush of young days
"The ambush of young days, thou hast passed by it with fortitude and grace",Thou hast passed by the ambush of young days
"Either thou art not assailed by any foe, or being victor, thou art charged with great responsibility.","Either not assailed, or victor being charged;"
"Thou art either one who hath not been assailed, or else a victor being charged with the weight of conquest.","Either not assailed, or victor being charged;"
"For either art thou not assailed at all, or being victor, thou art charged with duties most grave.","Either not assailed, or victor being charged;"
"When I am perhaps compounded with clay, returning unto dust as all mortal flesh must do.","When I perhaps compounded am with clay,"
"Perhaps when I am compounded with the clay, having yielded up my spirit unto death's embrace.","When I perhaps compounded am with clay,"
"When perhaps compounded am I with clay, as my earthly frame doth mingle with the ground.","When I perhaps compounded am with clay,"
"I beseech thee, do not so much as rehearse my poor name unto any living soul;",Do not so much as my poor name rehearse;
"Prithee, rehearse not so much as my poor name, I do entreat thee with all humility;",Do not so much as my poor name rehearse;
"Do not, I beg of thee, so much as breathe or rehearse forth my poor name to the world;",Do not so much as my poor name rehearse;
To do more for me than that which mine own desert doth merit or require of thee,"To do more for me than mine own desert,"
"More than mine own desert could justly claim, yet still thou dost to do for me","To do more for me than mine own desert,"
For me to do more than what mine own desert alone could ever deserve or warrant,"To do more for me than mine own desert,"
"And thou shalt hang more praise upon the deceased I, that noble soul departed hence.",And hang more praise upon deceased I
"More praise shall hang upon the deceased I, and thus do we honour those who are no more.",And hang more praise upon deceased I
"Hang more praise, I say, upon the deceased, and let it rest there evermore in testament to what was.",And hang more praise upon deceased I
Than what a niggard truth would willingly impart unto thee.,Than niggard truth would willingly impart:
"More generous far than truth, that niggard, would willingly impart.",Than niggard truth would willingly impart:
"Than truth, being niggard in nature, would willingly deign to impart.",Than niggard truth would willingly impart:
"And so should you likewise be mov'd to love things of nothing worth, those empty vanities.","And so should you, to love things nothing worth."
"To love things nothing worth—thus should you do the same, and so conduct yourself in such affection.","And so should you, to love things nothing worth."
"And so too should you be inclin'd to love those things which are nothing worth, I say.","And so should you, to love things nothing worth."
"In that time of year, thou mayst behold in me the marks of aging, as autumn doth display its fading glory.",That time of year thou mayst in me behold
"Behold in me, I prithee, that time of year which thou mayst perceive, when all things wane as doth the dying season.",That time of year thou mayst in me behold
"That time of year which thou art able to behold in me doth now arrive, and in my visage mayst thou see the very season itself.",That time of year thou mayst in me behold
"Upon those boughs which do shake most violently against the bitter cold, there hangs a melancholy air.","Upon those boughs which shake against the cold,"
"Those boughs which shake and tremble against the piercing cold do rest upon the very earth, forsaken.","Upon those boughs which shake against the cold,"
"Against the cold, those boughs which shake do bend upon the frozen ground in their distress.","Upon those boughs which shake against the cold,"
"In me, good soul, thou seeest the twilight of such day as is now fading into darkness most profound.",In me thou seeest the twilight of such day
"Thou seeest in me, I say, the twilight of such day—that melancholy hour when light doth flee.",In me thou seeest the twilight of such day
"Behold in me the twilight of such day, which thou dost surely seeest with thine own eyes.",In me thou seeest the twilight of such day
Without all bail shall carry me away into that dark abyss from which no man returneth.,"Without all bail shall carry me away,"
"Away shall carry me, without all bail to stay my passage, into the depths unknown.","Without all bail shall carry me away,"
"All bail being absent, away shall carry me without remedy or hope of return.","Without all bail shall carry me away,"
"Now art thou proud as an enjoyer, and anon thou shalt be humbled.","Now proud as an enjoyer, and anon"
"Proud as an enjoyer thou art now, and yet anon thy fortune shall turn.","Now proud as an enjoyer, and anon"
"Now, proud as one who is an enjoyer, and anon thy pride shall fade away.","Now proud as an enjoyer, and anon"
"Then bettered it, that the world may see my pleasure and know my will manifest.",Then bettered that the world may see my pleasure:
"That the world may see my pleasure, then bettered I the state of things.",Then bettered that the world may see my pleasure:
Then bettered was that which the world may see of my pleasure and contentment.,Then bettered that the world may see my pleasure:
"And by and by, being clean starved for a look, thou dost languish most pitifully.",And by and by clean starved for a look;
"By and by, methinks, clean starved for a look shalt thou become, and waste away.",And by and by clean starved for a look;
"And by and by, when thou art clean starved for a look from thy beloved, despair doth overtake thee.",And by and by clean starved for a look;
"Art thou so far removed from all variation, or any quick change of fortune's wheel?",So far from variation or quick change?
"Dost thou remain so far from variation, or from any quick change that might befall thee?",So far from variation or quick change?
"How canst thou be so far from variation, or from quick change, when all the world doth shift?",So far from variation or quick change?
"Why doth it come to pass that I do write still, all one and ever the same, without variation or change?","Why write I still all one, ever the same,"
"Ever the same do I remain, and why write I still, all one, in this most constant and unvarying manner?","Why write I still all one, ever the same,"
"Tell me, why write I still in all one fashion, ever the same, with no departure from this settled course?","Why write I still all one, ever the same,"
"That every word doth almost tell my name, as though each utterance were a mirror held unto my very soul.","That every word doth almost tell my name,"
"Every word that passeth from thy lips doth almost tell my name, so near the truth art thou in speech.","That every word doth almost tell my name,"
"That every word which doth issue forth almost tell my name, betraying thus the secrets of my heart.","That every word doth almost tell my name,"
How doth thy dial show thee that thy precious minutes waste away?,Thy dial how thy precious minutes waste;
"Thy dial doth reveal, dear friend, how thy precious minutes waste themselves in time's swift passage.",Thy dial how thy precious minutes waste;
"Behold thy dial, and observe how thy precious minutes waste and slip from thy very grasp.",Thy dial how thy precious minutes waste;
"So oft have I invoked thee, crying out in desperate supplication for my Muse, that thou might'st grant me inspiration.","So oft have I invoked thee for my Muse,"
"I have so oft invoked thee for my Muse, calling upon thy divine grace with such frequency that the heavens themselves must tire of my pleas.","So oft have I invoked thee for my Muse,"
