input,target,output,MA,SP,G
"I trouble heaven with my bootless cries, deaf though it be to all my anguished and fruitless wailing.","And trouble deaf heaven with my bootless cries,",i trouble heaven with bootless my cries deaf though it be to all my anguished and fruitless wailing,1.0,0.9916,0.147
"With bootless cries I trouble the deaf heaven, crying out in vain and making my sorrowful noise where none shall hear.","And trouble deaf heaven with my bootless cries,",bootless with cries trouble i the heaven deaf crying out in vain and making my sorrowful noise where none shall hear,1.0,0.954,0.1273
I do summon up the remembrance of things that are past and gone.,"I summon up remembrance of things past,",i summon do the up remembrance of things that are past and gone,1.0,0.9619,0.1362
Up do I summon remembrance of things which in the past have been.,"I summon up remembrance of things past,",up summon do remembrance i of things which in the past have been,1.0,0.9591,0.1346
Remembrance of things past I summon up within my troubled mind.,"I summon up remembrance of things past,",remembrance of things past i summon up within my troubled mind,1.0,1.0,0.1397
I do sigh most heavily for the lack of many a thing that I have long sought after.,"I sigh the lack of many a thing I sought,",i do sigh most the for lack many heavily of a thing that i have long sought after,1.0,0.9636,0.1258
The lack of many a thing I sought doth cause me to sigh with great lamentation.,"I sigh the lack of many a thing I sought,",the many lack a of thing i sought doth cause me to sigh with great lamentation,1.0,0.9889,0.1347
"I sigh, perceiving well the lack of many a thing which I have earnestly sought through long endeavour.","I sigh the lack of many a thing I sought,",i sigh perceiving well the lack of many a thing which i have earnestly sought through long endeavour,1.0,1.0,0.1445
"And thou shalt weep afresh for love's long since cancelled woe, dost thou not?","And weep afresh love's long since cancelled woe,",and thou shalt weep afresh for loves long since cancelled woe dost thou not,1.0,1.0,0.1514
"Weep anew, I prithee, and let flow afresh the tears for love's woe, which hath long since been cancelled.","And weep afresh love's long since cancelled woe,",prithee weep anew and i let flow afresh the tears for loves woe which hath long since been cancelled,1.0,0.9547,0.1295
"For love's long since cancelled woe doth bid thee weep afresh, and thou shalt do so with sorrowful heart.","And weep afresh love's long since cancelled woe,",for loves long cancelled since woe doth bid thee weep afresh and thou shalt do so with sorrowful heart,1.0,0.9834,0.1394
"The sad account doth tell of moan fore-bemoaned, a sorrow long lamented ere this present hour.","The sad account of fore-bemoaned moan,",the sad account doth tell forebemoaned of a moan sorrow long lamented ere this present hour,1.0,0.9902,0.1262
"Of moan fore-bemoaned, the sad account remaineth, a doleful reckoning of griefs that were bewailed aforetime.","The sad account of fore-bemoaned moan,",forebemoaned of the moan remaineth sad account a doleful reckoning of griefs that were bewailed aforetime,1.0,0.9529,0.1376
"The account, most sad, doth chronicle the moan fore-bemoaned—that ancient sorrow which hath been lamented since days of old.","The sad account of fore-bemoaned moan,",account the most sad doth the moan forebemoanedthat chronicle ancient sorrow which hath been lamented since days of old,1.0,0.9838,0.1325
"Hath dear religious love stol'n from mine eye the light of day, leaving me in darkness?","Hath dear religious love stol'n from mine eye,",hath dear religious love stoln from mine eye the light of day leaving me in darkness,1.0,1.0,0.1277
"Mine eye, from which dear religious love hath stol'n away, doth grieve most bitterly.","Hath dear religious love stol'n from mine eye,",mine eye from which religious dear love hath stoln away doth grieve most bitterly,1.0,0.9946,0.116
From mine eye hath there been stol'n a dear religious love most precious and most pure.,"Hath dear religious love stol'n from mine eye,",from mine eye hath stoln there a been religious dear love most precious and most pure,1.0,0.9803,0.113
"Hung it is with the trophies of my lovers who are gone, each one departed hence.","Hung with the trophies of my lovers gone,",hung it is with the trophies of my lovers who are gone each one departed hence,1.0,1.0,0.1397
"With the trophies of my lovers gone, these walls are hung most sorrowfully.","Hung with the trophies of my lovers gone,",the trophies with of lovers my gone these walls are hung most sorrowfully,1.0,0.9871,0.1146
"My chamber standeth hung with trophies of the lovers gone from me, and I do weep.","Hung with the trophies of my lovers gone,",my chamber standeth hung with trophies of the lovers gone from me and i do weep,1.0,1.0,0.1307
"And thou, all they, dost possess and hast all the all of me, my very soul and substance entire.","And thou, all they, hast all the all of me.",and thou all they and dost possess hast all the all of me my very soul and substance entire,1.0,0.9881,0.1407
"Thou and all they together have claimed and now do hast all the all of me, each part thereof.","And thou, all they, hast all the all of me.",and thou all they together have and claimed now do hast all the all of me each part thereof,1.0,0.94,0.1323
"And thou especially, along with all they, hast seized upon all the all of me that ever was mine own.","And thou, all they, hast all the all of me.",and thou along especially with all they hast seized upon all the all of me that ever was mine own,1.0,0.9982,0.1475
"Do compare them with the bett'ring of the time, I prithee, and thou shalt perceive their worth.","Compare them with the bett'ring of the time,",compare do them the with bettring of the time i prithee and thou shalt perceive their worth,1.0,0.9725,0.1393
"When thou dost compare them with the bett'ring of the time, what manner of excellence shall be revealed unto thee.","Compare them with the bett'ring of the time,",when thou compare dost them the with bettring of the time what manner of excellence shall be revealed unto thee,1.0,0.9943,0.1543
"Let us compare them, I say, with the bett'ring of the time, that we might judge their merit most justly.","Compare them with the bett'ring of the time,",let us compare them i the say bettring with of the time that we might judge their merit most justly,1.0,0.9141,0.1495
And from the forlorn world doth he his visage hide most carefully away.,"And from the forlorn world his visage hide,",and from forlorn the world doth he his visage hide most carefully away,1.0,0.989,0.1556
"From the forlorn world shall he hide his visage, and withdraw from all eyes.","And from the forlorn world his visage hide,",the from forlorn world shall he hide his visage and withdraw from all eyes,1.0,0.9873,0.1709
"And he doth hide his visage from the forlorn world, that none may see his countenance.","And from the forlorn world his visage hide,",and he doth hide his visage from forlorn the world that none may see his countenance,1.0,0.9935,0.1828
"Even so did my sun shine forth one early morn, with radiant splendor upon the breaking of day.","Even so my sun one early morn did shine,",so even did my sun shine forth one early morn with radiant splendor upon the breaking of day,1.0,0.9893,0.1482
"One early morn, even so, my sun did shine most brilliantly, as the dawn did break upon the world.","Even so my sun one early morn did shine,",one early even morn so my sun did shine most brilliantly as the dawn did break upon the world,1.0,0.9894,0.1447
"Thus did my sun, in one early morn, shine forth with glory, even so as the morning light did spill across the heavens.","Even so my sun one early morn did shine,",thus did my sun in early one morn shine forth with glory even so as the morning light did spill across the heavens,1.0,0.9973,0.1521
"And thou shalt make me travel forth into the world without my cloak, exposed to fortune's cruel winds.","And make me travel forth without my cloak,",and thou shalt make me travel into forth the world without my cloak exposed to fortunes cruel winds,1.0,0.9948,0.1266
"Make me, I prithee, to travel forth without my cloak, and thus am I sent wandering into the cold.","And make me travel forth without my cloak,",make me prithee i to travel forth without my cloak and thus am i sent wandering into the cold,1.0,0.9964,0.1458
"And so thou dost make me travel forth, bereft of my cloak, to wander without shelter or protection.","And make me travel forth without my cloak,",and so thou dost make travel me bereft forth of my cloak to wander without shelter or protection,1.0,0.993,0.1506
"And they are rich, and do ransom all ill deeds most grievously committed.",And they are rich and ransom all ill deeds.,and they are rich and ransom do all ill deeds most grievously committed,1.0,0.9893,0.125
"They are, in truth, most rich, and thereby ransom all the ill deeds that men have wrought.",And they are rich and ransom all ill deeds.,they are in truth most rich and ransom thereby all the ill deeds that men have wrought,1.0,0.9874,0.1416
"For they are rich indeed, and through their wealth they ransom all manner of ill deeds.",And they are rich and ransom all ill deeds.,for they are rich and through their wealth they indeed ransom all manner of ill deeds,1.0,0.9813,0.1546
"And against myself shall I a lawful plea commence, ere long to make defence.",And against myself a lawful plea commence:,against and shall a lawful i plea myself commence ere long to make defence,1.0,0.9328,0.1175
"A lawful plea do I commence against myself, and thus against mine own self shall I argue.",And against myself a lawful plea commence:,a lawful plea do i commence against myself and thus against mine own self shall i argue,1.0,1.0,0.1305
"Against myself I shall commence a lawful plea most solemnly, and against my own breast bring forth this plea.",And against myself a lawful plea commence:,against i shall commence a lawful myself plea most solemnly and against my own breast bring forth this plea,1.0,0.9944,0.1324
"Without thy help, this burden shall by me be borne alone, forsooth.","Without thy help, by me be borne alone.",without thy help this burden shall by me be borne alone forsooth,1.0,1.0,0.1491
"By me alone shall all be borne, without thy help, I say.","Without thy help, by me be borne alone.",by me alone shall all be borne without thy help i say,1.0,1.0,0.1425
"Without thy help to aid me, by myself shall this be borne alone in sorrowful solitude.","Without thy help, by me be borne alone.",without thy help to aid me by shall myself this be borne alone in sorrowful solitude,1.0,0.9897,0.1366
"Though in our lives a separable spite doth manifest itself between us, yet are we bound by forces greater than such division.","Though in our lives a separable spite,",in our though a lives separable spite doth manifest itself between us yet are we bound by forces greater than such division,1.0,0.9816,0.1385
"A separable spite, though it doth plague our lives, cannot wholly sever that which in our hearts remaineth joined.","Though in our lives a separable spite,",a spite separable though it doth plague our lives cannot wholly sever that which in our hearts remaineth joined,1.0,0.9967,0.1347
"In our lives, though a separable spite may come to pass betwixt us, 'tis but a wound that time and providence shall heal.","Though in our lives a separable spite,",in our lives a though separable spite may come to pass betwixt us tis but a wound that time and providence shall heal,1.0,0.9976,0.159
"I may not evermore acknowledge thee, nor shall I ever again own thy presence before the world.","I may not evermore acknowledge thee,",i may not evermore acknowledge thee nor shall i ever again own thy presence before the world,1.0,1.0,0.1466
"Evermore shall I be bound by this cruel fate: I may not acknowledge thee, not now nor in all the ages yet to come.","I may not evermore acknowledge thee,",shall evermore i be bound by this cruel fate i may not acknowledge thee not now nor in all the ages yet to come,1.0,0.9939,0.1688
"Thou must know that I may not evermore acknowledge thee, though it doth wound my soul to speak such words.","I may not evermore acknowledge thee,",thou must know that i may not evermore acknowledge thee though it doth wound my soul to speak such words,1.0,1.0,0.1615
"For whether it be beauty, birth, or wealth, or wit that doth distinguish a man","For whether beauty, birth, or wealth, or wit,",for whether it be beauty birth or wealth or wit that doth distinguish a man,1.0,1.0,0.1446
"For tell me, doth it matter whether beauty, birth, wealth, or wit be thy possession?","For whether beauty, birth, or wealth, or wit,",for tell me doth it matter whether beauty birth wealth or wit be thy possession,1.0,1.0,0.1355
"For in this world, whether a man hath beauty, birth, or wealth, or wit, 'tis all that is prized","For whether beauty, birth, or wealth, or wit,",in for this whether world a man hath beauty birth or wealth or wit tis all that is prized,1.0,0.9819,0.1285
"Or dost thou speak of any of these all, or perchance all together, or yet more still?","Or any of these all, or all, or more,",or dost thou speak of any of these all or perchance all together or yet more still,1.0,1.0,0.1641
"Whether it be any one of these all, or all of them conjoined, or more beyond measure, I know not.","Or any of these all, or all, or more,",it whether any be one of these all or all of them conjoined or more beyond measure i know not,1.0,0.9901,0.159
"Or shall it be any of these all, or all as one, or more than all that hath been named?","Or any of these all, or all, or more,",or shall it any be of these all or all as one or more than all that hath been named,1.0,0.9921,0.1608
"I do make my love to be engrafted unto this store, that it may flourish and endure.","I make my love engrafted, to this store:",i do make my love to engrafted unto be this store that it may flourish and endure,1.0,0.9903,0.1369
"To this store do I make my love engrafted, joining it as a living branch unto a fruitful tree.","I make my love engrafted, to this store:",to this store do i make my love engrafted joining it as a living branch unto a fruitful tree,1.0,1.0,0.1259
"My love I make engrafted to this store, whereby it shall be preserved and multiplied for all time.","I make my love engrafted, to this store:",my love i make engrafted to this store whereby it shall be preserved and multiplied for all time,1.0,1.0,0.143
"Whilst that this shadow doth give such substance unto thee, mark well its power o'er mortal sight.",Whilst that this shadow doth such substance give,whilst that this doth give substance unto shadow such thee mark well its power oer mortal sight,1.0,0.9827,0.1166
"Whilst that this shadow doth such substance give, consider how the darkness doth illuminate what is real and true.",Whilst that this shadow doth such substance give,whilst that this substance doth consider shadow such give how the darkness doth illuminate what is real and true,1.0,0.988,0.1393
"Whilst that this shadow doth such substance give unto all things, verily does it transform the very nature of being itself.",Whilst that this shadow doth such substance give,whilst that this doth such substance unto shadow give all things verily does it transform the very nature of being itself,1.0,0.9902,0.1385
"Thine own argument, being too excellent and sweet, doth surpass all measure.","Thine own sweet argument, too excellent",thine being own and too surpass sweet argument excellent doth all measure,1.0,0.7691,0.0987
"Too excellent is thine own sweet argument, and therefore beyond compare.","Thine own sweet argument, too excellent",too is thine own beyond compare sweet excellent argument and therefore,1.0,0.7835,0.1205
Thine sweet and excellent own argument doth prove itself too surpassing fair.,"Thine own sweet argument, too excellent",thine sweet and own doth prove surpassing excellent argument itself too fair,1.0,0.9516,0.1133
"That which is worthy of perusal doth stand firm against thy sight, unyielding and noble.",Worthy perusal stand against thy sight;,that which is worthy of perusal doth stand firm against thy sight unyielding and noble,1.0,1.0,0.1643
"Against thy sight shall worthy perusal stand, a testament to all that thou beholdest.",Worthy perusal stand against thy sight;,against thy worthy sight perusal shall stand a testament to all that thou beholdest,1.0,0.992,0.1494
"Let worthy perusal stand resolute against thy sight, for it is meet and proper that it so doth.",Worthy perusal stand against thy sight;,perusal worthy let stand resolute against thy sight for it is meet and proper that it so doth,1.0,0.9809,0.1368
"When thou art all the better part of me, what remains but shadow and diminishment?",When thou art all the better part of me?,when thou art all the better part of me what remains but shadow and diminishment,1.0,1.0,0.1625
"Art thou not all the better part of me, when thou dost constitute my very excellence?",When thou art all the better part of me?,art thou not all the better part of me when thou dost constitute my very excellence,1.0,1.0,0.1699
"When thou art become all the better part of me, what am I but thy lesser half?",When thou art all the better part of me?,when thou become art all the better part of me what am i but thy lesser half,1.0,0.9647,0.1494
"For even this cause alone, let us henceforth divided live, each from the other parted.","Even for this, let us divided live,",for even this alone cause let us henceforth divided live each from the other parted,1.0,0.9862,0.1304
"Let us, even for this very reason, live divided one from another, I beseech thee.","Even for this, let us divided live,",let even us for very reason this live divided one from another i beseech thee,1.0,0.9572,0.1382
"Even for this matter, I say unto thee, let us live divided and apart forevermore.","Even for this, let us divided live,",for even matter this i unto say thee let us live divided and apart forevermore,1.0,0.9777,0.1261
"And our dear love shall lose the name of single one, becoming twain in unity.","And our dear love lose name of single one,",and our dear love shall the lose name of single one becoming twain in unity,1.0,0.9955,0.1192
"Our dear love doth lose its name of single one, and shall be called by no such solitary title.","And our dear love lose name of single one,",dear our love doth lose its name of single one and shall be called by no such solitary title,1.0,0.992,0.1449
"And thus our dear love lose the name of single one, for it becometh manifold in affection.","And our dear love lose name of single one,",and our thus dear love the lose name of single one for it becometh manifold in affection,1.0,0.9676,0.1246
That by this most cruel separation I may give unto thee my blessing and my heart's devotion,That by this separation I may give,that by this cruel separation most i may give unto thee my blessing and my hearts devotion,1.0,0.9944,0.1394
"By this separation, I may give what thou dost seek, and that alone shall be my purpose",That by this separation I may give,by separation this i may give what thou dost seek and that alone shall be my purpose,1.0,0.9924,0.1512
"That I may give freely through this separation, by which means my love shall reach thee still",That by this separation I may give,that i may freely give through separation this by which means my love shall reach thee still,1.0,0.9911,0.1362
"Take, I beseech thee, all my loves, my love, yea take them all, each and every one, without restraint or hesitation.","Take all my loves, my love, yea take them all;",take i beseech thee all my loves my love yea take them all each and every one without restraint or hesitation,1.0,1.0,0.1619
"Yea, all my loves do I surrender unto thee, my love; take them all, I say, and leave me naught but sorrow.","Take all my loves, my love, yea take them all;",yea all my loves do i surrender unto thee my love take them all i say and leave me naught but sorrow,1.0,1.0,0.158
"My love, I do implore thee, take all my loves—take them all, yea, every last affection that doth dwell within my breast.","Take all my loves, my love, yea take them all;",my love i do thee take all my lovestake implore them all yea every last affection that doth dwell within my breast,1.0,0.9847,0.1496
"Then, if thou receivest my love for the sake of my love, thou dost accept it.","Then, if for my love, thou my love receivest,",then if receivest thou my love the for sake of my love thou dost accept it,1.0,0.9806,0.1768
"If, then, thou art willing to receive my love in exchange for love that I do bear, know that my love thou receivest.","Then, if for my love, thou my love receivest,",if then thou willing art receive to my love in exchange for love that i do bear know that my love thou receivest,1.0,0.9116,0.1614
"Then shall it be, if for my love's sake thou receivest my love, that thy acceptance doth prove true.","Then, if for my love, thou my love receivest,",then shall it be if for my loves sake thou receivest my love that thy acceptance doth prove true,1.0,1.0,0.1759
"I do most willingly forgive thy robbery, thou gentle thief, for thy manner is most courteous in thy transgression.","I do forgive thy robbery, gentle thief,",i do forgive most thy thou gentle willingly robbery thief for thy manner is most courteous in thy transgression,1.0,0.9822,0.131
"Thy robbery, though it be a crime most grievous, I do forgive thee, gentle thief that thou art, with a heart full of charity.","I do forgive thy robbery, gentle thief,",thy though it be a crime most grievous robbery i do forgive thee gentle thief that thou art with a heart full of charity,1.0,0.9944,0.1539
"Gentle thief, I do hereby forgive thee of thy robbery, for thy noble bearing doth move me to show thee mercy and grace.","I do forgive thy robbery, gentle thief,",thief gentle i hereby forgive do thee of thy robbery for thy noble bearing doth move me to show thee mercy and grace,1.0,0.9942,0.137
"When I am sometime absent from thy heart, dost thou feel the sting of my departure?","When I am sometime absent from thy heart,",when i am absent from thy heart dost sometime thou feel the sting of my departure,1.0,0.9949,0.1448
"Sometime when I am absent from thy heart, the distance between us doth grow most terrible.","When I am sometime absent from thy heart,",when i am absent from thy heart the sometime distance between us doth grow most terrible,1.0,0.9871,0.1414
"In those moments when I am sometime absent from thy heart, what grief doth possess thee?","When I am sometime absent from thy heart,",in moments those when i am absent sometime from thy heart what grief doth possess thee,1.0,0.9886,0.1206
Will he sourly leave her till he have prevailed in his suit?,Will sourly leave her till he have prevailed?,will he sourly leave her till he have prevailed in his suit,1.0,1.0,0.147
"Shall he sourly leave her till he have prevailed, or will he tarry?",Will sourly leave her till he have prevailed?,shall he sourly leave her till he have prevailed or will he tarry,1.0,1.0,0.1585
Will he not sourly leave her till he have prevailed over her resistance?,Will sourly leave her till he have prevailed?,will he sourly not leave her till he prevailed have over her resistance,1.0,0.9904,0.1234
And thou shalt chide thy beauty and thy straying youth most severely for their wanton ways.,"And chide thy beauty and thy straying youth,",and thou shalt beauty chide and thy thy straying youth most severely for their wanton ways,1.0,0.9868,0.1344
"Chide, I say, thy straying youth and thy beauty both, for they do lead thee astray.","And chide thy beauty and thy straying youth,",chide i say straying thy and youth thy beauty both for they do lead thee astray,1.0,0.9833,0.1328
And so shalt thou chide thy beauty and rebuke thy straying youth for their folly.,"And chide thy beauty and thy straying youth,",and so shalt thou chide beauty thy rebuke and thy straying youth for their folly,1.0,0.9803,0.1389
"Who did lead thee into their riot, even in that very place there?",Who lead thee in their riot even there,who did lead into thee their riot even in that very place there,1.0,0.9924,0.1342
"Who hath lead thee in their riot, even there where thou didst find thyself?",Who lead thee in their riot even there,who hath lead thee in riot even their there where thou didst find thyself,1.0,0.9867,0.1346
"In their riot, who would lead thee even to that place there?",Who lead thee in their riot even there,in riot their who would lead even thee to that place there,1.0,0.9711,0.1217
"Where thou art forced to break a twofold truth, thus torn betwixt two paths of sacred oath",Where thou art forced to break a twofold truth:,where thou art forced to break a truth thus twofold torn betwixt two paths of sacred oath,1.0,0.9953,0.1485
"In that place where thou art forced to break a twofold truth, thy conscience doth suffer violent rupture",Where thou art forced to break a twofold truth:,in that place where thou art forced to a break twofold truth thy conscience doth suffer violent rupture,1.0,0.998,0.1368
"There, where thou art forced to break a twofold truth and betray both vows at once, doth thy soul endure most grievous torment",Where thou art forced to break a twofold truth:,there where thou art forced to a break truth twofold and betray both vows at once doth thy soul endure most grievous torment,1.0,0.9921,0.1509
"That thou hast her, I confess it is not all the grief that doth afflict my troubled soul.","That thou hast her it is not all my grief,",that thou hast her confess i it is not all the grief that doth afflict my troubled soul,1.0,0.9698,0.1606
"It is not all my grief, I must acknowledge, that thou hast her in thy possession.","That thou hast her it is not all my grief,",it is not all my grief i must acknowledge that thou hast her in thy possession,1.0,1.0,0.1588
"That thou hast her, verily, it is not all of my grief, though great sorrow it doth bring.","That thou hast her it is not all my grief,",that thou hast her verily it is not all of my grief though great sorrow it doth bring,1.0,1.0,0.1596
"Thus shall I excuse ye, loving offenders, for I will show mercy unto those whose very nature doth offend through love.",Loving offenders thus I will excuse ye:,thus shall excuse i loving ye offenders for i will show mercy unto those whose very nature doth offend through love,1.0,0.9855,0.142
"I will excuse ye in this manner, ye loving offenders, for thus do I find it within my heart to pardon such transgressions.",Loving offenders thus I will excuse ye:,i will excuse in ye this manner ye loving offenders for thus do i find it within my heart to pardon such transgressions,1.0,0.9943,0.1398
"Ye loving offenders shall find excuse in my judgment, for thus will I absolve ye of thy trespasses through compassion.",Loving offenders thus I will excuse ye:,offenders loving ye shall find excuse in my judgment for thus will i absolve ye of thy trespasses through compassion,1.0,0.9789,0.1414
"And even for my sake doth she so abuse me, I confess it true.","And for my sake even so doth she abuse me,",and even for my sake doth she abuse so me i confess it true,1.0,0.9782,0.1335
"For my sake even so doth she abuse me, and therein lies my sorrow.","And for my sake even so doth she abuse me,",for my sake even so doth she abuse me and therein lies my sorrow,1.0,1.0,0.159
"Even so doth she abuse me, and all for my sake, I do lament.","And for my sake even so doth she abuse me,",so even doth abuse she me and all for my sake i do lament,1.0,0.9511,0.1391
"Sweet flattery doth it seem, and yet then she loves but me alone, forsooth.",Sweet flattery! then she loves but me alone.,sweet doth it seem and yet then she loves flattery but me alone forsooth,1.0,0.9464,0.1528
"Then she loves but me alone, methinks—O sweet flattery of such tender words!",Sweet flattery! then she loves but me alone.,then she loves but methinkso me alone sweet flattery of such tender words,1.0,0.9898,0.1159
"If this be sweet flattery, then she loves but me alone, and none other.",Sweet flattery! then she loves but me alone.,if this be sweet then she loves but me flattery alone and none other,1.0,0.9521,0.1318
"How would mine eyes, I say, be made blessed by such grace?","How would, I say, mine eyes be blessed made",how would mine eyes i say be made blessed by such grace,1.0,1.0,0.1244
"I say unto thee, how would mine eyes be blessed and made whole?","How would, I say, mine eyes be blessed made",i unto say thee how would mine eyes be blessed and made whole,1.0,0.9926,0.1399
"How would it be, I say, that mine eyes should be made blessed?","How would, I say, mine eyes be blessed made",how would it be i say that mine eyes should be made blessed,1.0,1.0,0.1524
"Upon the farthest reaches of the earth, most grievously removed from thee;",Upon the farthest earth removed from thee;,upon the farthest reaches of the earth most grievously removed from thee,1.0,1.0,0.1916
Removed upon the farthest earth that stretcheth far from thee;,Upon the farthest earth removed from thee;,removed upon the farthest earth that stretcheth far from thee,1.0,1.0,0.1606
"Upon the earth most farthest distant, thus removed from thy presence, from thee;",Upon the farthest earth removed from thee;,upon the earth most farthest distant thus removed from thy presence from thee,1.0,1.0,0.1385
"As soon as thou dost think upon the place where he would be, so swift cometh thy imagining.",As soon as think the place where he would be.,as soon as thou dost think upon the place where he would be so swift cometh thy imagining,1.0,1.0,0.1592
"Think upon the place where he would be as soon as thy mind doth conceive it, for the thought and the place are one.",As soon as think the place where he would be.,the think upon place where he would be as soon as thy mind doth conceive it for the thought and the place are one,1.0,0.9745,0.1642
"The place where he would be doth appear unto thee as soon as thou art able to think it, no slower than thy very thoughts.",As soon as think the place where he would be.,the place where he would be appear doth unto thee as soon as thou art able to think it no slower than thy very thoughts,1.0,0.9931,0.1745
To leap o'er large lengths of many miles when thou art gone from hence,"To leap large lengths of miles when thou art gone,",to leap oer large lengths many of miles when thou art gone from hence,1.0,0.997,0.1268
"When thou art gone, to leap across the large and mighty lengths of all those miles","To leap large lengths of miles when thou art gone,",when thou art gone to leap across the large and mighty lengths of all those miles,1.0,1.0,0.1547
To leap with speed the large lengths of miles that stretch when thou art gone away,"To leap large lengths of miles when thou art gone,",to leap with speed the large lengths of miles that stretch when thou art gone away,1.0,1.0,0.1372
"The other two elements, being but slight air and purging fire, do constitute the heavens.","The other two, slight air, and purging fire",the other being two but slight air elements and purging fire do constitute the heavens,1.0,0.9573,0.1222
"Of the other two—that is to say, the slight air and the purging fire—what manner of consequence shall we make?","The other two, slight air, and purging fire",the other of twothat is to say the slight air and the purging firewhat manner of consequence shall we make,1.0,0.9961,0.1496
Consider the other two: the slight air and purging fire that doth cleanse all things with its ethereal flame.,"The other two, slight air, and purging fire",consider two the other slight the air and purging fire that doth cleanse all things with its ethereal flame,1.0,0.9692,0.1511
"The first doth occupy my thought, whilst the other doth consume my desire most earnestly.","The first my thought, the other my desire,",the first doth occupy my thought the whilst other doth consume my desire most earnestly,1.0,0.9893,0.1485
"My thought is first claimed by the one, yet the other doth stir within my desire.","The first my thought, the other my desire,",my thought is first claimed by the one the yet other doth stir within my desire,1.0,0.9877,0.1325
"The first of these doth seize upon my thought, and the other commandeth my desire.","The first my thought, the other my desire,",the first of these doth seize upon my thought and the other commandeth my desire,1.0,1.0,0.159
These present-absent do with swift motion slide most cunningly along.,These present-absent with swift motion slide.,presentabsent these do with swift motion slide cunningly most along,1.0,0.9873,0.1014
"With swift motion do these present-absent slide, being neither here nor there in their passage.",These present-absent with swift motion slide.,with motion swift do these presentabsent being slide neither here nor there in their passage,1.0,0.9859,0.1186
Behold how these present-absent slide with swift motion through the ethereal sphere.,These present-absent with swift motion slide.,behold how these presentabsent slide with motion swift through the ethereal sphere,1.0,0.9973,0.1187
By those swift messengers which have returned unto thee from distant shores.,"By those swift messengers returned from thee,",by those swift which returned have unto messengers thee from distant shores,1.0,0.9735,0.1153
"Those swift messengers, returned from thee, do bear tidings by their speedy arrival.","By those swift messengers returned from thee,",those swift returned from thee do tidings messengers bear by their speedy arrival,1.0,0.9791,0.1266
"By means of those messengers, swift in their journey, who are returned from thee with haste.","By those swift messengers returned from thee,",by means of those in swift their journey messengers who are returned from thee with haste,1.0,0.9877,0.1437
"Who even but now hath come back again, being assured of his purpose?","Who even but now come back again, assured,",who even but now hath come back again being assured of his purpose,1.0,1.0,0.1428
"Who, assured in heart, doth even but now come back again to us?","Who even but now come back again, assured,",in who assured heart even doth but now come back again to us,1.0,0.9709,0.1393
"Who even but now come back again, for he was assured of what he sought?","Who even but now come back again, assured,",who even but now come again back for he was assured of what he sought,1.0,0.9956,0.1487
"My heart doth plead most urgently that thou in him dost lie, and there remain.","My heart doth plead that thou in him dost lie,",my heart doth plead most that in thou him urgently dost lie and there remain,1.0,0.9851,0.1333
"That thou in him dost lie, my heart doth plead with all its force and passion.","My heart doth plead that thou in him dost lie,",that thou in him dost lie my heart doth plead with all its force and passion,1.0,1.0,0.1588
"Doth my heart plead that thou in him dost lie, a most earnest supplication.","My heart doth plead that thou in him dost lie,",doth my heart plead that thou in him dost lie a most earnest supplication,1.0,1.0,0.1548
"And by their verdict is the matter determined, settled by their solemn judgment.",And by their verdict is determined,and verdict by the their determined is matter settled by their solemn judgment,1.0,0.9794,0.1255
"By their verdict, it is determined, and thus their decision doth stand as law.",And by their verdict is determined,by verdict their determined it and is thus their decision doth stand as law,1.0,0.9881,0.1325
"And through their verdict is all determined, for by such judgment the truth is made known.",And by their verdict is determined,and through their verdict is determined all for by such judgment the truth is made known,1.0,0.9971,0.1437
"And my heart's right, for thy inward love of heart doth shine most true.","And my heart's right, thy inward love of heart.",and my hearts right for inward thy love of heart doth shine most true,1.0,0.9963,0.1273
"Thy inward love of heart, and my heart's right, art both most noble and sincere.","And my heart's right, thy inward love of heart.",thy inward love of heart and my hearts right art both most noble and sincere,1.0,1.0,0.1275
And my heart's right in this: that thy inward love of heart remaineth ever constant.,"And my heart's right, thy inward love of heart.",and my hearts right in this that inward thy love of heart remaineth ever constant,1.0,0.9964,0.1262
"Betwixt mine eye and heart, a league most solemn is took, wherein neither shall yield unto the other.","Betwixt mine eye and heart a league is took,",betwixt mine eye and heart a league most solemn is took wherein neither shall yield unto the other,1.0,1.0,0.1355
"A league is took between mine eye and heart, which doth stand betwixt them as a covenant sworn.","Betwixt mine eye and heart a league is took,",a league is took between mine eye and heart which doth stand betwixt them as a covenant sworn,1.0,1.0,0.1445
"There is a league took betwixt mine eye and the seat of my heart, and thus they stand divided.","Betwixt mine eye and heart a league is took,",there is a league betwixt took mine and eye the seat of my heart and thus they stand divided,1.0,0.9521,0.1469
"So, either by thy picture or by my love, doth this resolve stand firm.","So, either by thy picture or my love,",so either by thy picture or by my love doth this resolve stand firm,1.0,1.0,0.1486
"Either by thy picture or my love, so doth the matter rest, I say.","So, either by thy picture or my love,",by either picture thy or my love so doth the matter rest i say,1.0,0.901,0.132
"By thy picture, then, or else by my love so deep—either way the truth appeareth.","So, either by thy picture or my love,",by picture thy then or else by my love so deepeither way the truth appeareth,1.0,0.9645,0.1281
"Though thou thyself away dost go, yet art thou present still with me in spirit and in truth.","Thyself away, art present still with me;",though thou away dost go yet art thou thyself present still with me in spirit and in truth,1.0,0.9862,0.1676
